,Diluant(%),Equv(phi),Fuel(%),Oxidizer(%),P(atm),T(K),Time(Î¼s)
count,64.0,64.0,64.0,64.0,64.0,64.0,64.0
mean,89.2366546875,0.84734375,0.6142406250000001,10.1491046875,6.40125,1295.8125,741.84375
std,8.755159680900908,0.37577957988524363,0.5442822918707236,8.395501403660568,6.639769669938955,199.89623300166008,1131.1091230355653
min,77.01,0.3,0.03,0.33,1.07,903.0,70.0
10%,78.02109,0.5,0.05,0.7689,1.192,988.9000000000001,105.00000000000001
20%,78.43,0.5,0.1,3.4576000000000007,1.6580000000000004,1105.6,174.2
30%,78.545,0.5,0.2824,4.0,1.869,1211.9,206.89999999999998
40%,90.48,0.7280000000000002,0.4,4.0,2.112,1237.0,260.6
50%,93.83,1.0,0.42,5.495,3.605,1345.5,312.5
60%,95.66,1.0,0.56724,8.8,4.7299999999999995,1385.0,496.79999999999995
70%,95.76070000000001,1.0,0.9549999999999996,20.6,6.207999999999998,1408.2999999999997,686.3
80%,96.2416,1.0,1.0,20.89,12.896000000000024,1454.4,1070.8000000000002
90%,99.18958,1.0,1.2392000000000005,21.0,18.69100000000001,1568.9,1826.7000000000003
max,99.64,2.0,1.99,21.0,22.9,1640.0,7825.0
